publish_date,ticker,article_sentiment,average_market_sentiment,average_market_percent_change,RatingScore_pct_change,analyst_score_pct_change,target_median_price_pct_change,target_score,Yesterday_Percent_Change,Next_Day_Percent_Change,article_sentiment_class,average_market_sentiment_class
2024-12-27,BTC,0.04551938131313133,0.2759985286871322,-0.0124750321692228,,,,,,,Neutral,Neutral
2024-12-29,BTC,0.20845334513970878,0.2614513060738932,,,,,,,,Neutral,Neutral
2024-12-30,BTC,0.16011099109224108,0.24764557831868905,-0.0119543892514454,,,,,,,Neutral,Neutral
2024-12-31,BTC,0.0990124469181612,0.20664126526572696,-0.0101564092002462,,,,,,,Neutral,Neutral
2025-01-01,BTC,0.17725218855218852,0.18264128433575655,-0.0095293281977012,,,,,,,Neutral,Neutral
2025-01-02,BTC,0.30901944444444446,0.21351521432739395,-0.0064892569624833,,,,,,,Neutral,Neutral
2025-01-05,BTC,0.26412926406926407,0.2305661710061703,,,,,,,,Neutral,Neutral
2025-01-06,BTC,0.15655578288554475,0.2025483948663802,0.0221002380160894,,,,,,,Neutral,Neutral
2025-01-07,BTC,0.17813698893698893,0.19405426126522585,-0.0187327601801066,,,,,,,Neutral,Neutral
2025-01-08,BTC,0.18941893939393942,0.16747027661557534,-0.0180455688098005,,,,,,,Neutral,Neutral
2025-01-09,BTC,0.225025,0.19071427124319207,-0.0308004912370782,,,,,,,Neutral,Neutral
2025-01-12,BTC,0.3092668659382945,0.25423639381832813,,,,,,,,Neutral,Neutral
2025-01-13,BTC,0.0758630236606427,0.22319171892532313,-0.0103390149376735,,,,,,,Neutral,Neutral
2025-01-14,BTC,0.1629341739655693,0.17053678110015075,0.0029832822112098004,,,,,,,Neutral,Neutral
2025-01-15,BTC,0.23739772727272723,0.18675533507439285,0.0267015595290222,,,,,,,Neutral,Neutral
2025-01-19,BTC,0.2516645115753811,0.22728933850245825,,,,,,,,Neutral,Neutral
2025-01-20,BTC,0.1318127879888473,0.20902464708031734,0.0161447326564081,,,,,,,Neutral,Neutral
2025-01-21,BTC,0.11573569023569023,0.18012387570653665,0.0092275252387577,,,,,,,Neutral,Neutral
2024-12-10,BWXT,0.35015,,,,,,,-0.09,-1.21,Neutral,Bearish
2024-12-11,BWXT,0.46585,0.3403905285027392,0.0189320473811481,,,,,-1.21,-1.33,Bullish,Neutral
2024-12-12,BWXT,0.3264232142857143,0.24994048657494605,-0.0018045275794627,0.0,,,,-1.33,-1.17,Neutral,Neutral
2024-12-13,BWXT,0.6682151515151515,0.23223139006472132,0.0315663928399389,0.0,,,,-1.17,0.92,Bullish,Neutral
2024-12-16,BWXT,0.535804081632653,0.2321212242386334,0.0119634301644616,0.0,,,,0.92,-1.03,Bullish,Neutral
2024-12-23,BWXT,0.46428148148148146,0.2409777785317522,0.0185477476293828,0.0,,,,-1.03,0.83,Bullish,Neutral
2024-12-30,BWXT,0.2496928571428571,0.2360127498483537,-0.0119543892514454,0.0,,,,0.83,-1.96,Neutral,Neutral
2025-01-07,BWXT,0.4471944444444444,0.2054958559768649,-0.0187327601801066,-33.33,,,18.052563550193884,-1.96,-1.96,Bullish,Neutral
2025-01-12,BWXT,0.46201666666666663,0.23099239919071146,,0.0,0.0,2.19,18.052563550193884,-1.96,1.31,Bullish,Neutral
2025-01-13,BWXT,0.4988636363636363,0.22319171892532313,-0.0103390149376735,0.0,0.0,0.0,23.18521777386713,1.31,-0.41,Bullish,Neutral
2025-01-15,BWXT,0.2966833333333333,0.190669891567982,0.0267015595290222,0.0,0.0,0.0,17.41518849331153,-0.41,,Neutral,Neutral
2024-12-11,CHTR,0.46725,,0.0189320473811481,,,,,0.13,0.7399999999999999,Bullish,Bearish
2024-12-12,CHTR,0.29983253367003365,0.24994048657494605,-0.0018045275794627,0.0,,,,0.7399999999999999,-0.01,Neutral,Neutral
2024-12-16,CHTR,0.31854999999999994,0.23097923702209822,0.0119634301644616,0.0,,,,-0.01,-1.15,Neutral,Neutral
2024-12-19,CHTR,0.23997023809523801,0.2168816312259482,-0.0279244836636686,0.0,,,,-1.15,0.16,Neutral,Neutral
