Date,Ticker,Close,Volume,High,Low,Open,Percent_Difference
2025-02-11,CHTR,350.9200134277344,613000,351.5,340.239990234375,340.239990234375,0.020917587093354593
2025-02-12,CHTR,354.55999755859375,762700,355.57000732421875,346.1700134277344,347.1199951171875,0.010372688907949571
2025-02-10,TDS,37.33000183105469,813800,37.459999084472656,36.95000076293945,37.0,
2025-02-11,TDS,37.439998626708984,629700,37.849998474121094,37.060001373291016,37.18000030517578,0.0029466056860139494
2025-02-12,TDS,38.0,597400,38.29999923706055,36.560001373291016,36.83000183105469,0.014957302185676933
2025-02-10,META,717.4000244140625,12904300,721.2000122070312,711.3300170898438,718.5599975585938,
2025-02-11,META,719.7999877929688,12998000,723.6599731445312,710.0399780273438,713.3200073242188,0.00334536283416832
2025-02-12,META,725.3800048828125,12016500,727.0999755859375,712.5999755859375,715.2999877929688,0.007752177249895555
2025-02-10,RGTI,12.350000381469727,64329300,12.989999771118164,12.220000267028809,12.710000038146973,
2025-02-11,RGTI,11.020000457763672,71972000,12.5,11.0,12.489999771118164,-0.10769229818823507
2025-02-12,RGTI,11.75,77186700,12.229999542236328,10.850000381469727,10.9350004196167,0.06624314990132674
2025-02-10,QUBT,8.710000038146973,14819600,9.170000076293945,8.619999885559082,9.0,
2025-02-11,QUBT,7.869999885559082,13224000,8.6899995803833,7.860000133514404,8.649999618530273,-0.09644088965659732
2025-02-12,QUBT,8.260000228881836,13266000,8.420000076293945,7.715000152587891,7.75,0.04955531753416899
2025-02-10,LX,8.149999618530273,3173200,8.399999618530273,7.710000038146973,8.329999923706055,
2025-02-11,LX,7.78000020980835,2455500,8.029999732971191,7.570000171661377,7.960000038146973,-0.04539870258161405
2025-02-12,LX,8.09000015258789,2887000,8.170000076293945,7.900000095367432,7.989999771118164,0.0398457499253946
2025-02-10,OKLO,53.72999954223633,17091400,56.79999923706055,53.310001373291016,55.04999923706055,
2025-02-11,OKLO,50.08000183105469,14446800,54.099998474121094,49.209999084472656,53.040000915527344,-0.06793221184214665
2025-02-12,OKLO,54.380001068115234,18768300,55.33000183105469,47.4900016784668,47.779998779296875,0.08586260143453331
2025-02-10,PSIX,43.25,287400,43.9900016784668,41.95000076293945,43.439998626708984,
2025-02-11,PSIX,41.45000076293945,225600,43.4900016784668,40.9900016784668,43.0,-0.04161847946960802
2025-02-12,PSIX,38.970001220703125,335200,41.41999816894531,38.5,40.20000076293945,-0.0598311096885118
2025-02-10,QFIN,43.33000183105469,1526200,43.83000183105469,42.630001068115234,43.25,
2025-02-11,QFIN,41.16999816894531,1659800,43.0,41.09000015258789,42.95000076293945,-0.04985007087078627
2025-02-12,QFIN,43.0,1281500,43.20000076293945,40.52000045776367,41.22999954223633,0.044449888570436344
2025-02-10,RTX,128.25,5344900,128.5,126.9000015258789,128.07000732421875,
2025-02-11,RTX,129.11000061035156,3320600,129.4199981689453,127.80000305175781,129.10000610351562,0.006705657780519006
2025-02-12,RTX,126.77999877929688,5154900,128.60000610351562,126.44000244140625,127.80999755859375,-0.01804664100410419
2025-02-10,TWLO,144.4600067138672,1768100,146.49000549316406,142.89999389648438,146.19000244140625,
2025-02-11,TWLO,143.24000549316406,2021100,145.6199951171875,141.3300018310547,143.7899932861328,-0.008445252415913207
2025-02-12,TWLO,144.58999633789062,2903500,144.6699981689453,139.60000610351562,141.22999572753906,0.009424677415214069
2025-02-10,^IXIC,19714.26953125,9535440000,19772.0390625,19650.7890625,19668.1796875,
2025-02-11,^IXIC,19643.859375,9269380000,19731.9296875,19579.76953125,19602.109375,-0.003571532596649833
2025-02-12,^IXIC,19649.94921875,7946550000,19682.509765625,19415.48046875,19436.509765625,0.00031001259140300683
2025-02-10,^GSPC,6066.43994140625,4458760000,6073.3798828125,6044.83984375,6046.39990234375,
2025-02-11,^GSPC,6068.5,4324880000,6076.27978515625,6042.33984375,6049.31982421875,0.00033958278885926985
2025-02-12,^GSPC,6051.97021484375,4627960000,6063.0,6003.0,6025.080078125,-0.0027238667143857625
